,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
687,2014-08-27,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"HCFS Health Care Financial Services, Inc.",TX,77489,,,Web,2014-09-03,Closed with explanation,Yes,Yes,1003058
688,2015-08-27,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,"I did not find the right option for my complain, so here it is. 

This account was originally from GE Money now Synchrony Bank, I have requested many times the information to be investigated because I know about the Discriminatory Credit Card Practices against consumers that had a XXXX XXXX address and I am XXXX of them. Neither Synchrony Bank or this collection company XXXX have changed/deleted the information. Every time I file a dispute in my credit report since the article came out, shows the information has been corroborated and remains. I have copy of my credit report and copy of your article dated XXXX XXXX, 2014. 
",,Synchrony Financial,,,,Consent provided,Web,2015-08-27,Closed with explanation,Yes,Yes,1539412
689,2015-06-16,Credit card,,Unsolicited issuance of credit card,,,,"PayPal Holdings, Inc.",PR,00956,,Consent not provided,Web,2015-06-19,Closed with explanation,Yes,Yes,1424032
690,2015-08-02,Money transfers,Domestic (US) money transfer,Other service issues,,"I purchased a ring as described as a certified XXXX yellow gold Alexandrite ring on eBay and paid using my PayPal account. After receiving the said merchandise I verified the information with my jeweler and the jeweler informed me that this ring was not XXXX gold and the size of the alexandrite did not match the certification documents. Contactingboth EBay and PayPal they said they could not help me with my claim as they bothclosed my claims without informing me. As noted in the eBay terms of use it clearlystates in their money back guarantee states "" If a buyer suspects that an item is counterfeit, and there are strong indicators that the item is counterfeit, we do n't require the buyer to return the item to the seller. The buyer agrees to cooperate with us to ensure the proper disposal of the item. In such instances, we refund the buyer for the full cost of the item and original shipping, and the seller reimburses us for the refund. The buyer may not sell the item on eBay or elsewhere. '' XXXX EBay Money Back Guarantee XXXX. As EBay and PayPal unable to resolve my issue as informed by representatives of XXXX company 's they informed me to file a claim with my bank. It is quite frustrating how EBay does not honor their own money back guarantees. 
",Company believes it acted appropriately as authorized by contract or law,"PayPal Holdings, Inc.",CO,800XX,,Consent provided,Web,2015-08-02,Closed with explanation,Yes,Yes,1498245
691,2013-04-26,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,AL,36116,,,Web,2013-04-26,Closed with explanation,Yes,Yes,391525
692,2014-12-22,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,"1st Priority Mortgage, Inc.",NY,14726,,,Web,2014-12-22,Closed with explanation,Yes,Yes,1167570
693,2016-08-02,Debt collection,Medical,Communication tactics,Threatened to take legal action,"I have been trying to pay what I can and sometimes that is nothing but repeatedly have been telling me that is not enough and that if I do n't pay what they want me to pay a month then they are going to take me to court and garnish my husbands wages over {$600.00} a pay check! 
I also asked them to not call my husband and I at our jobs and they continue to do so. I even gave written notice to stop. 
Now I get a letter in the mail about a judgement and I only missed one payment.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"MST Financial Services, L.L.C.",ID,838XX,,Consent provided,Web,2016-08-02,Closed with explanation,Yes,Yes,2041601
694,2016-08-12,Consumer Loan,Vehicle loan,Managing the loan or lease,,My card was involved in an accident and the car was totaled. As a result fo the insurance claim - a large percentage of the loan amount was paid off by insurance. At that time I contacted the creditor and explained the situation. There was a balance leftover that was due from me and the creditor said that I would be able to seperate that from the loan and have a different payment arrangement on that portion of the balance. Time went by and I did not recevie any information so I called the creditor and sent an email. More time went by so I called the creditor again and this time the creditor said that I had to make full car payments and that the account was past due because I did not pay regular car payments on the small amount due and remaining. The creditor marked me late to the credit bureau. Even though I was talking with them about a different payment option and set up for the balance left over. I asked them to consider making an exception as a one-time courtesy to remove the XXXX x XXXX late payment and they refused. They said I would need to dispute it with the credit bureau. I had XXXX loans with the creditor and never made a single late payment. They refused a one-time courtesy request and the representative on the phone was quite rude about it. The reason it was technically late was because they did not respond to my inquires on what I needed to do in an insurance pay off situation.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,IN,462XX,,Consent provided,Web,2016-08-12,Closed with explanation,No,Yes,2061296
695,2014-08-31,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Selene Finance,VA,22042,,,Web,2014-08-31,Closed with explanation,Yes,Yes,1009032
696,2012-03-25,Credit card,,Collection practices,,,,Capital One,VA,23456,,,Referral,2012-04-05,Closed without relief,Yes,Yes,40686
697,2012-10-24,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,NC,27103,,,Web,2012-10-24,Closed with explanation,Yes,Yes,177856
698,2016-07-27,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,HSBC North America Holdings Inc.,NJ,07631,Older American,,Phone,2016-07-27,Closed with explanation,Yes,Yes,2033459
699,2014-06-24,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,MD,20874,,,Referral,2014-06-26,Closed with explanation,Yes,Yes,908618
700,2012-05-17,Credit card,,Identity theft / Fraud / Embezzlement,,,,Capital One,FL,32956,,,Referral,2012-05-26,Closed with explanation,Yes,Yes,80783
701,2015-06-11,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,92660,,Other,Web,2015-06-11,Closed with explanation,Yes,Yes,1417637
702,2016-08-24,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,FL,325XX,,,Web,2016-08-26,Closed with explanation,Yes,Yes,2079066
703,2014-12-24,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Automated Collection Services, Inc.",MD,20878,,,Web,2014-12-31,Closed with explanation,Yes,Yes,1170176
704,2013-07-26,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,Bank of America,NC,28146,,,Web,2013-07-29,Closed with explanation,Yes,Yes,467333
705,2014-05-19,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",AR,72701,,,Web,2014-05-19,Closed with non-monetary relief,Yes,Yes,857564
706,2015-11-16,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Threatened to take legal action,"A rep ( Assistant Director of Operations of the Process and Warrant Division ) from Coastal Financial Solutions called and left me a voicemail stating that there are allegations of fraud under my name and social security number that they had tried numerous times to talk to me about my loan debt, and that since this has n't been resolved outside of court and if it was n't resolved within 24 hours, that they would send my case back to my county for further processing to be scheduled. He said that if I want to get this resolved out of court I had only until XXXX EST to call him back. At this point, this was the first I had heard from them. If they had called previously, they did n't leave a message. 
",Company believes it acted appropriately as authorized by contract or law,"Coastal Financial Solutions, LLC",CA,945XX,,Consent provided,Web,2015-11-16,Closed with explanation,Yes,Yes,1656684
707,2015-05-24,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"I keep disputing this information with Equifax regarding these accounts. I asked the companies on my dispute to validate the debt as well as the negative information that they keep reporting to Equifax. I never received any validation of debt or any competent proof. Equifax claim they verified the debt and I would like to see the verification that they have received regarding these disputes. I have also filed complaints against these companies. 
",,Equifax,OH,436XX,,Consent provided,Web,2015-05-26,Closed with explanation,Yes,Yes,1390373
708,2015-11-02,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,"For over a year now, I have worked diligently and relentlessly ( with Wells Fargo Home Mortgage ( WFHM ) ) to purchase an estate property ( via short sale ; the owner had a reverse mortgage ) - all to no avail. WFHM 's procrastination and misdealings ( conveniently for them ) caused several appraisals to expire ( the first of which I submitted, in a timely manner, all of the requested documents and a deposit/earnest money ), only to have WFHM do XXXX additional appraisals ( with significant price increases - specifically, WFHM 's last appraisal is $ XXXX higher than their initial appraisal ). To make matters worse, WFHM did not send my initial dispute ( appraisal ) to HUD ; and ( although WFHM said I could submit the outside appraisals and market analysis/comparable report ), WFHM is not really considering the XXXX outside appraisals and the comparable report submitted ( for the disputes ). I have reached out to several WFHM employees ( from Home Preservation Specialists to the CEO ) and continue to get the runaround and/or conflicting info. I have done everything requested ( by WFHM ) ; now, time is long overdue for WFHM to conduct themselves ethically, efficiently, and professionally ( to process the short sale ). In the interim, while this longstanding snafu is being "" worked '', I am very concerned that the property will be foreclosed on XXXX XXXX XXXX. 
",Company chooses not to provide a public response,Wells Fargo & Company,OH,454XX,,Consent provided,Web,2015-11-02,Closed with explanation,Yes,Yes,1636321
709,2016-02-11,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I was having installment payments withdrawn from my banking account by the original creditor ( CITIBANK , N.A . ) concerning debt in question. 
Citibank , N.A . has unethically, unfairly, and fruadulently reported unwarranted debt information to XXXX XXXX XXXX concerning my account. 
",Company chooses not to provide a public response,Citibank,NC,282XX,Servicemember,Consent provided,Web,2016-02-11,Closed with non-monetary relief,Yes,Yes,1783821
710,2015-02-08,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,PHH Mortgage,NJ,07481,,,Web,2015-02-08,Closed with explanation,Yes,Yes,1230552
711,2012-09-05,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Wells Fargo & Company,MD,21769,,,Web,2012-09-06,Closed with explanation,Yes,Yes,147100
712,2015-04-17,Credit card,,Billing statement,,"Rec 'd email statement saying my account was 2 months overdo. This is the first email I ever received from this store - I always pay my bill on time, and never carry a finance charge. Paid my account in full that day. I have been a credit card holder since about XX/XX/XXXX. They have reported me to credit bureaus and basically are saying that I am lying - that they sent the previous statements by email and there is no way that there could have been a mistake. I have checked my entire email account - trash, spam and messages rec 'd and sent. Nowhere is there a record of them sending previous statements for that month - bill was for XX/XX/XXXX ( Amount {$150.00} ) Why is there no consideration for me - as a responsible credit card holder - why is it assumed that I am lying? I have cancelled my credit card with Bloomingdale 's but I would like to protest their unfairness. 
",Company chooses not to provide a public response,Citibank,CA,902XX,Older American,Consent provided,Web,2015-04-17,Closed with monetary relief,Yes,Yes,1335077
713,2013-07-17,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,NY,11576,,,Postal mail,2013-07-19,Closed with explanation,Yes,Yes,480803
714,2012-04-08,Mortgage,Home equity loan or line of credit,Settlement process and costs,,,,Fifth Third Financial Corporation,MI,49418,,,Web,2012-04-11,Closed without relief,Yes,Yes,44911
715,2016-06-20,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,PA,17960,,Consent not provided,Web,2016-06-20,Closed with explanation,Yes,Yes,1975015
716,2015-05-11,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,Citibank,CA,90043,,Consent not provided,Web,2015-05-12,Closed with explanation,Yes,Yes,1369966
717,2016-08-02,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Allied Collection Services, Inc. (Nevada)",NV,89107,,Consent not provided,Web,2016-08-02,Closed with explanation,Yes,Yes,2040019
718,2016-07-15,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,Equifax,GA,31419,,Consent not provided,Web,2016-07-15,Closed with explanation,Yes,Yes,2012861
719,2013-02-12,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"TransUnion Intermediate Holdings, Inc.",PA,15211,,,Web,2013-02-12,Closed with explanation,Yes,Yes,314914
720,2015-10-22,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,91335,,,Referral,2015-11-03,Closed with explanation,Yes,Yes,1619627
721,2015-10-06,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,"To Whom It May Concern, I am filing this complaint because Select Portfolio Servicing XXXX Inc., hereinafter referred to as SPS, has violated the Federal Truth In Lending Act. I have filed other complaints alleging other violations, however, this is the first I have filed a complaint against them for violating the clear and concise laws that make up the Federal Truth in Lending Act, hereinafter referred to as TILA. On XXXX XXXX, 2015, I mailed SPS, a notice of rescission. SPS receive my notice of rescission on XXXX XXXX, 2015. Under TILA, the rescission is self-enforcing and automatically extinguishes the deed of trust and the promissory note by OPERATION OF LAW. The act has also noted that delivering notification to the entity to which the consumer has been directed to send payments constitutes delivery to the creditor or the assignee. Upon receipt of the rescission, they ( SPS and/or the "" creditor '' ) were to take specific and mandatory steps within twenty ( 20 ) calendar days of receipt of the notice of rescission. The Act makes no distinction between the right to rescind in 3 days or extended as neither cases nor statute gives the courts equitable discretion to alter TILA 's substantive provisions. This matter was strongly supported by the Consumer Financial Protection Bureau in the recent Supreme Court Ruling XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX that was decided on XXXX XXXX, 2015. Pursuant to the Act, XXXX XXXX XXXX ( b ), if SPS did not agree with my right to rescind or felt that I was not entitled to a right to rescind, they, as a "" creditor '', were suppose to file a declaratory lawsuit against me to challenge the notice of rescission. They failed to take such action. Since they have failed to take any action within the statutory 20 calendar days, they have forever waived any and all defenses to the rescission. They have also failed to take the necessary steps to provide me with a reconveyance releasing the deed of trust and tender all monies paid in connection with my debt obligation to me. Although I am not looking for any monetary awards, I am entitled to a reconveyance of the deed of trust. SPS has sent me a couple of letters in response to my notice of rescission denying my right to rescind, however, the security interest is void and of no legal effect irrespective of whether they and/or the "" creditor '' makes any affirmative response to the notice. There is no provision under TILA that allows them the right or authority to grant or deny my notice of rescission. If they disputed it, they had 20 calendar days to file a lawsuit against me and they have failed to do so. By operation of law, any interest SPS and/or the "" creditor '' had was automatically negated regardless of its status and whether or not it was recorded or perfected. SPS is attempting to foreclosure on a deed of trust that has been canceled and is no longer a legal instrument. Since they have failed to abide by the mandatory acts under TILA, I am under no further obligation to SPS and/or the "" creditor ''. For one, they have failed to abide by the statutory 20 day window period. XXXX, they are unable to establish that they are the true "" creditor '' of my debt obligation. Due to the fact that the deed of trust has been canceled, they ( SPS and/or the "" creditor '' ) are unable to use the deed of trust, promissory note, or any assignments to establish ownership. They must provide proof they actually lent me the funds. This is proof they do not possess and once again failed to file a lawsuit within 20 days. I felt the need to file this complaint because I am appalled and disgusted by SPS 's blatant disregard for the law. It appears they feel they have the right to do whatever they wish without any consequences of their actions. It is my belief that these laws were implemented to protect us and they should not be allowed to ignore and disregard them 
",Company believes it acted appropriately as authorized by contract or law,"Select Portfolio Servicing, Inc",CA,917XX,,Consent provided,Web,2015-10-06,Closed with explanation,Yes,Yes,1594161
722,2015-05-22,Credit card,,Late fee,,"XXXX Chase charged me {$25.00} late fee. The due date is XXXX/XXXX/15. Bill was paid by telephone on XXXX/XXXX/15. I called their customer service yesterday and was advised that payment must be made a certain time of the day ( early in the day ) or there will be late fee, hence the {$25.00} charge. 
",,JPMorgan Chase & Co.,TX,751XX,Servicemember,Consent provided,Web,2015-05-22,Closed with explanation,Yes,Yes,1388841
723,2016-06-21,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,"U.S. Bank - I was speaking with a bank representative named XXXX that suggested I transfer funds from XXXX bank card to another at a lower interest rate. I did and asked that my payments be due on the first of the month. After everything was transferred over from XXXX cards, I received my first statement and it stated 11 % which was higher than the 5 % he quoted me, also, there were transfer fees. To top it all off, any account I have has a grace period of at least 5 days. If my account was n't paid on the XXXX of the month exactly ( which was never explained to me ) I finally discovered I 'd been charged late fees. I 've always paid my bills between the XXXX of the XXXX of the month. Upon discovery, I was smoothed talked again and then found out my interest rate had gone up to 28 %.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. Bancorp,MO,631XX,,Consent provided,Web,2016-06-21,Closed with explanation,Yes,Yes,1977784
724,2013-02-09,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,GA,30030,Older American,,Postal mail,2013-02-21,Closed with explanation,Yes,Yes,311846
725,2015-04-06,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,ERC,FL,33635,,Consent not provided,Web,2015-04-06,Closed with non-monetary relief,Yes,Yes,1316715
726,2016-01-14,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"U.S. Bank, as trustee for the benefit of XXXX XXXX XXXX XXXX, perpetrated fraud in a foreclosure action against me and procured an unjust windfall of {$350000.00} at my expense. 

In XXXX XXXX I consented to pay or re-finance the {$680000.00} unpaid principal ( inclusive of unpaid interest added to the original {$670000.00} amount ) of a loan I had received from XXXX. in XXXX that XXXX allegedly had acquired. 

In XXXX XXXX, I received a statement from XXXX, the purported loan servicer, indicating that my "" unpaid loan balance '' was {$650000.00} and that my "" new monthly payment '' would be approximately {$1000.00}. Assuming this was the bank 's loan modification offer pursuant to XXXX XXXX XXXX XXXX, I sent the first month 's payment to XXXX. 

However, U.S. Bank did not cancel the sale, and my home was sold for {$1.00} XXXX. I spent the next year trying to set aside the wrongful foreclosure sale but was unsuccessful. 

In XXXX XXXX the court disbursed {>= $1,000,000} to U.S. Bank, which was {$350000.00} more than I owed to the Trust. And now I can not find an attorney to represent me because the original foreclosure judgment is more than a year old. 
",,Nationstar Mortgage,FL,331XX,Servicemember,Consent provided,Web,2016-01-27,Closed with explanation,Yes,Yes,1741245
727,2014-01-04,Credit card,,Late fee,,,,Discover,CA,96049,,,Web,2014-01-04,Closed with explanation,Yes,Yes,655131
728,2015-05-16,Mortgage,Other mortgage,Settlement process and costs,,"I had to file for Bankruptcy to protect my home because the bank has refused to modify my mortgage for years. This started in XX/XX/XXXX and Wells Fargo told me in order for them to help me I had to stop paying my mortgage with XXXX and when they take over the will modify my mortgage. When they finally took over they have continued to deny my modification even though I qualify. Now the prices are starting to come back up in Florida, I believe they are illegally denying me so they can sell the house for more and deny me again. The statute of limitation in Florida is XXXX years and my foreclosure ha been going on for longer than that. Why is the government and the state continuing to let the banks get away with this??? I want an answer ans want the banks to be held liable for what they have been doing to home owners since XX/XX/XXXX! Please respond! 
XXXX. XXXX XXXX XXXX XXXXXXXXXXXX 
",Company chooses not to provide a public response,Wells Fargo & Company,FL,330XX,,Consent provided,Web,2015-05-16,Closed with explanation,Yes,Yes,1379369
729,2015-04-22,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,NJ,08204,,,Referral,2015-04-27,Closed with explanation,Yes,Yes,1341624
730,2016-02-12,Bank account or service,Other bank product/service,Deposits and withdrawals,,"I canceled a transaction with Paypal and they did n't fully cancel the transaction. On XXXX XXXX I sent money to my wife using Paypal and canceled the transaction within 5 minutes. Paypal did n't cancel the withdrawal from my bank account. They allowed the money to be withdrawn from the bank and deposited the money into Paypal. A cancelled transaction should go back to the original state with the funds remaining in the bank not at Paypal. This is wrong and cost me XXXX dollars in overdraft fees! The transaction ID is XXXX. 
",,"PayPal Holdings, Inc.",MI,481XX,,Consent provided,Web,2016-02-12,Closed with explanation,Yes,Yes,1786114
731,2012-10-11,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,OH,43558,,,Referral,2012-10-12,Closed with explanation,Yes,Yes,169169
732,2014-03-27,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,,,Speedy Cash Holdings,MS,39564,,,Referral,2014-04-02,Closed with explanation,Yes,Yes,782590
733,2012-08-13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,MD,20744,,,Postal mail,2012-08-16,Closed with explanation,Yes,Yes,134914
734,2015-12-17,Student loan,Non-federal student loan,Dealing with my lender or servicer,Keep getting calls about my loan,"I have a student loan with Navient ( Formally XXXX XXXX ) and I forgot to make two payments and I started to receive phone calls on Friday. I received one on Friday, one on Saturday, one Sunday, one on Monday, 7 on Tuesday ( 3 of which occurred after I scheduled an online payment to make account current ) and then one more on Wednesday after the payment cleared the bank. 
",,"Navient Solutions, Inc.",PA,158XX,,Consent provided,Web,2015-12-17,Closed with explanation,Yes,Yes,1706606
735,2016-05-16,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,"On XXXX XXXX, XXXX, XXXX XXXX XXXX XXXX ( Account number was not disclosed ) had been re-inserted into my credit file. They are required to notify me within five ( 5 ) days of re-inserting a previously deleted item. I did not receive any such notification. I informed the CA 's of this violation, they ignored the fact, but sent an updated credit report stating the information from XXXX XXXX will "" remain. '' Also, XXXX XXXX, junk buyer, placed this illegal collection on my credit report in XX/XX/XXXX, which is also false and misleading. 
",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,AL,365XX,,Consent provided,Web,2016-05-16,Closed with explanation,Yes,Yes,1925956
736,2014-08-26,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,Equifax,GA,30309,,,Web,2014-08-26,Closed with explanation,Yes,Yes,1001966
737,2016-06-08,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Universal American Mortgage Company, LLC",FL,33455,,Consent not provided,Web,2016-06-09,Closed with explanation,Yes,Yes,1959294
738,2015-07-01,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"Bank of America was XXXX position mortgage on my home and failed to perform a title search and subordination agreement with XXXX lien holder XXXX XXXX XXXX XXXX. When I went to sell the home the XXXX lien holder told me they were in XXXX position as Bank of America failed to perform the appropriate title search. Contacted BOA and asked for them to process a title search and subordination agreement with XXXX. I was told to send a fax to the subordination department, which I did on XXXX XXXX, 2015. Called to follow up. Transferred four times. Disconnected from the line. Called again. Transferred three time. The final agent told me he could n't help me and did n't know where I needed to go. He asked me to start with a loan officer. One hour on hold and the bank does n't know how to file the appropriate subordination agreement and title search? This process has been ongoing for over two years in trying to get the house sold while avoiding foreclosure with Bank of America now failing to perform a title search and subordination agreement with the second bank now telling me to work with the first bank ( BOA ) and them not knowing what to do to fix the problem. 
",Company chooses not to provide a public response,Bank of America,NJ,088XX,,Consent provided,Web,2015-07-01,Closed with explanation,Yes,Yes,1446920
739,2013-04-18,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Capital One,NC,28117,,,Referral,2013-04-19,Closed with explanation,Yes,Yes,386175
740,2013-10-30,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,PA,17602,,,Web,2013-10-30,Closed with explanation,Yes,Yes,577348
741,2016-02-21,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"I am applying for a new mortgage. This is a property that was put under contract as a lease purchase 5 years ago, when the market was not as good. It has come to the end of the lease purchase and I must now complete the purchase. The value of the home has increased over the past 5 years. AIMLOAN had one of their approved appraiser put a value on the house. The loan to value ratio is 45 %. I am only borrowing 45 % of the current value of the loan but AIMLOAN is requiring that I pay Private Mortgage Insurance. Even though I advised the this was not legal and would n't even cover them, because it only covers the first 20 % of the value of the the home, they did n't care and are refusing to close on the loan if I do not purchase the Private Mortgage Insurance. 
",Company believes it acted appropriately as authorized by contract or law,"American Internet Mortgage, Inc",VA,201XX,,Consent provided,Web,2016-02-21,Closed with explanation,Yes,Yes,1796481
742,2014-09-09,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,NJ,08060,Servicemember,,Web,2014-09-09,Closed with explanation,Yes,Yes,1021224
743,2014-08-25,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Ocwen,CA,94561,,,Web,2014-08-29,Closed with explanation,Yes,Yes,998751
744,2015-01-23,Debt collection,Credit card,Taking/threatening an illegal action,Seized/Attempted to seize property,,,"Sessoms & Rogers, P.A.",NC,27587,,,Web,2015-01-23,Closed with non-monetary relief,Yes,Yes,1206884
745,2015-08-26,Debt collection,Medical,Communication tactics,Threatened to take legal action,,,"Works & Lentz, Inc",OK,73034,,,Phone,2015-09-11,Closed with explanation,Yes,Yes,1537605
746,2015-03-23,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,,Webster Bank,VA,22923,,,Referral,2015-03-26,Closed with explanation,Yes,Yes,1296035
747,2012-06-15,Bank account or service,Other bank product/service,Problems caused by my funds being low,,,,Bank of America,WA,98026,Older American,,Web,2012-06-15,Closed with explanation,Yes,Yes,102245
748,2013-07-17,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,OR,97023,,,Referral,2013-07-19,Closed with explanation,Yes,Yes,460280
749,2016-06-30,Credit card,,Billing disputes,,"JPMORGAN Chase refuses to conduct themselves according to federal regulation with respect to unauthorized/Fraud charges and have replied these charges to my account. 
On XXXX/XXXX/2016 I went online to pay my Chase C.C bill ( due on XX/XX/XXXX ). Noticed numerous unauthorized charges, could not locate my card. I called Chase reported and disputed these charges totaling around {$7000.00}. Chase removed them and conducted their investigation. XX/XX/XXXX billing cycle passed without news, XX/XX/XXXX billing cycle passed ( two complete billing cycles ) without news. On XXXX XXXX, the charges were placed back on my account. My balance prior to these charges was around {$4500.00}, now it is {$12000.00}. Further, Chase has decided to report that amount to the credit bureaus. I made several calls without resolution or an explanation. Therefore, in XX/XX/XXXX I requested the COMPLETE investigation file and all information Chase investigators used to come to their conclusion, but Chase refused to provide that file. Therefore, I sent Chase another request on XX/XX/2016 for the Complete file. 30 days passed and still no file. I made several more calls and finally received the file on XXXX XXXX, 2016, well pass the time allowed. Additionally, the file provided contains only receipts with numerous different signatures that do NOT match mine, and delivery information from XXXX confirming no signature was obtained. However, Chase and fraud investigator XXXX XXXX, continue to ignore federal policy. As of today XXXX XXXX, all charges continue to be on my account, I have filed disputes with the credit bureaus and Chase has verified the balance of {$12000.00} as accurate. I will be filing a lawsuit on XXXX XXXX.",,JPMorgan Chase & Co.,MI,483XX,Servicemember,Consent provided,Web,2016-06-30,Closed with explanation,Yes,Yes,1993195
750,2016-01-15,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company chooses not to provide a public response,Bank of America,GA,30081,,,Referral,2016-01-20,Closed with explanation,Yes,Yes,1746130
751,2014-10-29,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"Planet Home Lending, LLC",TX,75068,,,Referral,2014-11-04,Closed with explanation,Yes,Yes,1091811
752,2016-01-20,Credit card,,Other,,,,PNC Bank N.A.,PA,16335,,Consent not provided,Web,2016-01-20,Closed with explanation,Yes,Yes,1750669
753,2015-02-04,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Bank of America,IL,60096,,,Web,2015-02-19,Closed with explanation,Yes,Yes,1223750
754,2015-07-16,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CO,80498,Older American,,Postal mail,2015-07-22,Closed with explanation,Yes,Yes,1470899
755,2015-08-26,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Bank of America,GA,30013,,,Referral,2015-08-30,Closed with explanation,Yes,Yes,1538025
756,2015-11-02,Credit card,,Forbearance / Workout plans,,,Company chooses not to provide a public response,Citibank,TN,37660,,Consent not provided,Web,2015-11-02,Closed with explanation,Yes,Yes,1635905
757,2013-08-02,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Leading Edge Recovery Solutions, LLC",NJ,08012,,,Web,2013-08-23,Closed with explanation,Yes,Yes,473123
